from_zone_id,to_zone_id,departure_time_in_min,DT1_TT_in_min,DT2_TT_in_min,DT3_TT_in_min,DT4_TT_in_min,DT1_Distance,DT2_Distance,DT3_Distance,DT4_Distance,DT1_Toll_Cost,DT2_Toll_Cost,DT3_Toll_Cost,DT4_Toll_Cost,
1,2,480,11.4,11.4,11.4,11.4,11.45,11.45,11.45,11.45,,,,,
1,38,480, 8.7, 8.7, 8.7, 8.7,6.93,6.93,6.93,6.93,,,,,
1,39,480, 8.6, 8.6, 8.6, 8.6,6.85,6.85,6.85,6.85,,,,,
1,40,480, 9.6, 9.6, 9.6, 9.6,7.26,7.26,7.26,7.26,,,,,
1,41,480,10.2,10.2,10.2,10.2,7.97,7.97,7.97,7.97,,,,,
2,1,480, 0.0, 0.0, 0.0, 0.0,0.00,0.00,0.00,0.00,,,,,
2,38,480, 8.3, 8.3, 8.3, 8.3,8.94,8.94,8.94,8.94,,,,,
2,39,480, 8.2, 8.2, 8.2, 8.2,8.86,8.86,8.86,8.86,,,,,
2,40,480, 5.8, 5.8, 5.8, 5.8,6.27,6.27,6.27,6.27,,,,,
2,41,480, 6.4, 6.4, 6.4, 6.4,6.98,6.98,6.98,6.98,,,,,
38,1,480, 0.0, 0.0, 0.0, 0.0,0.00,0.00,0.00,0.00,,,,,
38,2,480, 8.3, 8.3, 8.3, 8.3,6.48,6.48,6.48,6.48,,,,,
38,39,480, 4.5, 4.5, 4.5, 4.5,4.88,4.88,4.88,4.88,,,,,
38,40,480, 5.5, 5.5, 5.5, 5.5,5.30,5.30,5.30,5.30,,,,,
38,41,480, 6.1, 6.1, 6.1, 6.1,6.01,6.01,6.01,6.01,,,,,
39,1,480, 0.0, 0.0, 0.0, 0.0,0.00,0.00,0.00,0.00,,,,,
39,2,480, 8.2, 8.2, 8.2, 8.2,6.40,6.40,6.40,6.40,,,,,
39,38,480, 4.5, 4.5, 4.5, 4.5,4.88,4.88,4.88,4.88,,,,,
39,40,480, 5.4, 5.4, 5.4, 5.4,5.22,5.22,5.22,5.22,,,,,
39,41,480, 6.0, 6.0, 6.0, 6.0,5.93,5.93,5.93,5.93,,,,,
40,1,480, 0.0, 0.0, 0.0, 0.0,0.00,0.00,0.00,0.00,,,,,
40,2,480, 6.2, 6.2, 6.2, 6.2,4.81,4.81,4.81,4.81,,,,,
40,38,480, 5.8, 5.8, 5.8, 5.8,6.30,6.30,6.30,6.30,,,,,
40,39,480, 5.7, 5.7, 5.7, 5.7,6.22,6.22,6.22,6.22,,,,,
40,41,480, 4.0, 4.0, 4.0, 4.0,4.34,4.34,4.34,4.34,,,,,
41,1,480, 0.0, 0.0, 0.0, 0.0,0.00,0.00,0.00,0.00,,,,,
41,2,480, 6.8, 6.8, 6.8, 6.8,5.53,5.53,5.53,5.53,,,,,
41,38,480, 6.5, 6.5, 6.5, 6.5,7.01,7.01,7.01,7.01,,,,,
41,39,480, 6.4, 6.4, 6.4, 6.4,6.93,6.93,6.93,6.93,,,,,
41,40,480, 4.0, 4.0, 4.0, 4.0,4.34,4.34,4.34,4.34,,,,,
