DTALite:
A Fast Open Source DTA Engine
Software Version =,1.1.0
Release Date=,Jun 25 2016
Simulation Date =,year: 2017,month:01,day:30,hour:14,min:27
----------------------test1----------------------
Signal Control Representation =,Continuous Flow with Link Capacity Constraint
Traffic Flow Model =,Point Queue Model
Assignment method=,MSA
 


# of Nodes=,24
# of Link Types=,12
# of Links=,76
# of Prohibited Movements=,0
# of Pretimed Signals=,0
# of Actuated Signals=,0
# of Zones=,24
# of Activity Locations=,24
# of Vehicle Types=,5
# of Demand Types=,4
# of Sensor Records=,0
Demand Load Mode=,demand meta databaseReading demand file,input_demand.csv,cumulative # of agents=,360600,


Demand multiplier in input_scenario_settings.csv file=,1
# of Vehicles to be simulated=,360600
# of Intra-zone Vehicles (not be simulated)=,0
Starting Time of Demand Loading (min)=,420
Ending Time of Demand Loading (min)=,540
Output Emission data=,YES
Output second by second speed data=,NO
Vehicle ID with second by second speed data=,0

--Link Type Statistics--
link_type,link_type_name,link_type_code,number_of_links,avg_lane_capacity,avg_number_of_lanes,avg_speed_limit,avg_link_length,avg_K_jam,total_link_length,
1,Freeway,f,76,10247.2,2.88158,60,4.13158,180,314,
2,Highway,h,0,0,0,0,0,0,0,
3,Principal arterial,a,0,0,0,0,0,0,0,
4,Major arterial,a,0,0,0,0,0,0,0,
5,Minor arterial,a,0,0,0,0,0,0,0,
6,Collector,a,0,0,0,0,0,0,0,
7,Local,a,0,0,0,0,0,0,0,
8,Frontage road,a,0,0,0,0,0,0,0,
9,Ramp,r,0,0,0,0,0,0,0,
10,Zonal connector,c,0,0,0,0,0,0,0,
100,Transit link,t,0,0,0,0,0,0,0,
200,Walking link,w,0,0,0,0,0,0,0,
# of demand type code based toll records=0
Assignment method=,Zone-based routing
Iteration #,CPU Running Time,Per Iteration CPU Running Time,# of agents,Avg Travel Time (min),Avg Waiting Time at Origin (min),Avg Trip Time Index=(Mean TT/Free-flow TT),Avg Distance,Avg Speed,Avg CO (g),% considering to switch,% switched,% completing trips,network clearance time (in min),Avg User Equilibirum (UE) gap (min),Relative UE gap (%),ODME: number of data points,ODME: Absolute link count error,ODME: % link count error,ODME: slope =observed/estimated link count,ODME: r_squared link count,travel_time_ 7:00,travel_time_ 7:15,travel_time_ 7:30,travel_time_ 7:45,travel_time_ 8:00,travel_time_ 8:15,travel_time_ 8:30,travel_time_ 8:45,Avg UE gap_ 7:00,Avg UE gap_ 7:15,Avg UE gap_ 7:30,Avg UE gap_ 7:45,Avg UE gap_ 8:00,Avg UE gap_ 8:15,Avg UE gap_ 8:30,Avg UE gap_ 8:45,Relative UE gap_ 7:00,Relative UE gap_ 7:15,Relative UE gap_ 7:30,Relative UE gap_ 7:45,Relative UE gap_ 8:00,Relative UE gap_ 8:15,Relative UE gap_ 8:30,Relative UE gap_ 8:45,
1,00:00:05,00:00:05,360600,9.59507,3.54836,1.49229,8.80754,55.0754,11314.8,100,100,100,840, , , , , , , ,9.28961,9.53925,9.56538,9.62072,9.66788,9.6898,9.74853,9.67797, , , , , , , , , , , , , , , , ,


--Time Dependent Network MOE--,60 min interval
time_stamp_in_min,time_clock,cumulative_in_flow_count,cumulative_out_flow_count,number_vehicles_in_network,number_vehicles_entering_network,total_vehicle_mile_traveled,avg_trip_time (departure_time_based),avg_trip_time_index = trip time/FFTT,avg_distance,avg_speed,
420, 7:00,2748,0,2748,2748,1.588e+06,12.2644,1.39249,8.80754,43.0883,
480, 8:00,183360,148989,34371,180612,1.588e+06,14.0399,1.59407,8.80754,37.6394,
540, 9:00,360600,320410,40190,177240,0,0,0,0,0,
600,10:00,360600,359415,1185,0,0,0,0,0,0,

--Time Dependent Network MOE--,30 min interval
time_stamp_in_min,time_clock,cumulative_in_flow_count,cumulative_out_flow_count,number_vehicles_in_network,number_vehicles_entering_network,total_vehicle_mile_traveled,avg_trip_time (departure_time_based),avg_trip_time_index = trip time/FFTT,avg_distance,avg_speed,
420, 7:00,2748,0,2748,2748,794000,11.117,1.26222,8.80754,47.5355,
450, 7:30,93030,63251,29779,90282,794000,13.4118,1.52276,8.80754,39.402,
480, 8:00,183360,148989,34371,90330,794000,14.2102,1.61341,8.80754,37.1882,
510, 8:30,273587,234686,38901,90227,794000,13.8695,1.57473,8.80754,38.1017,
540, 9:00,360600,320410,40190,87013,0,0,0,0,0,
570, 9:30,360600,349653,10947,0,0,0,0,0,0,
600,10:00,360600,359415,1185,0,0,0,0,0,0,

--Time Dependent Network MOE--,15 min interval
time_stamp_in_min,time_clock,cumulative_in_flow_count,cumulative_out_flow_count,number_vehicles_in_network,number_vehicles_entering_network,total_vehicle_mile_traveled,avg_trip_time (departure_time_based),avg_trip_time_index = trip time/FFTT,avg_distance,avg_speed,
420, 7:00,2748,0,2748,2748,395434,9.64225,1.09586,8.79876,54.7513,
435, 7:15,47885,20902,26983,45137,398566,12.5831,1.42726,8.81627,42.0386,
450, 7:30,93030,63251,29779,45145,395434,13.1355,1.49288,8.79876,40.1908,
465, 7:45,138223,106126,32097,45193,398566,13.6865,1.55241,8.81627,38.6495,
480, 8:00,183360,148989,34371,45137,398566,14.2022,1.61091,8.81627,37.246,
495, 8:15,228373,191846,36527,45013,395434,14.2182,1.61594,8.79876,37.1302,
510, 8:30,273587,234686,38901,45214,398566,14.013,1.58944,8.81627,37.7491,
525, 8:45,318732,277535,41197,45145,395434,13.7253,1.55991,8.79876,38.4637,
540, 9:00,360600,320410,40190,41868,0,0,0,0,0,
555, 9:15,360600,344672,15928,0,0,0,0,0,0,
570, 9:30,360600,349653,10947,0,0,0,0,0,0,
585, 9:45,360600,354499,6101,0,0,0,0,0,0,
600,10:00,360600,359415,1185,0,0,0,0,0,0,
615,10:15,360600,360600,0,0,0,0,0,0,0,

--Time Dependent Network MOE--,5 min interval
time_stamp_in_min,time_clock,cumulative_in_flow_count,cumulative_out_flow_count,number_vehicles_in_network,number_vehicles_entering_network,total_vehicle_mile_traveled,avg_trip_time (departure_time_based),avg_trip_time_index = trip time/FFTT,avg_distance,avg_speed,
420, 7:00,2748,0,2748,2748,130164,9.01361,1.0264,8.78181,58.457,
425, 7:05,18030,1676,16354,15282,132378,9.23889,1.04918,8.80583,57.1875,
430, 7:10,32852,9196,23656,14822,132892,10.6618,1.21041,8.80838,49.5699,
435, 7:15,47885,20902,26983,15033,131656,12.3991,1.40852,8.80289,42.5978,
440, 7:20,62972,34610,28362,15087,133278,12.5825,1.42574,8.82519,42.0833,
445, 7:25,77928,48927,29001,14956,133632,12.7655,1.44723,8.82059,41.4584,
450, 7:30,93030,63251,29779,15102,130916,12.9528,1.47351,8.79044,40.7191,
