time_stamp_in_min,cumulative_in_flow_count,cumulative_out_flow_count,number_of_vehicles_in_network,flow_in_a_min,avg_trip_time_in_min
420,2748,0,2748,2748,8.74533,
421,5808,0,5808,3060,9.08089,
422,8882,124,8758,3074,9.05571,
423,11825,402,11423,2943,9.05669,
424,14822,901,13921,2997,9.10546,
425,18030,1676,16354,3208,9.25721,
426,20778,2735,18043,2748,8.95019,
427,23838,4009,19829,3060,9.31326,
428,26912,5498,21414,3074,9.31325,
429,29855,7239,22616,2943,9.3335,
430,32852,9196,23656,2997,9.38745,
431,36060,11290,24770,3208,9.51685,
432,38808,13512,25296,2748,9.73031,
433,41868,15874,25994,3060,12.312,
434,44942,18362,26580,3074,12.2889,
435,47885,20902,26983,2943,12.3111,
436,50882,23526,27356,2997,12.4262,
437,54090,26204,27886,3208,12.3631,
438,56838,28926,27912,2748,12.3582,
439,59898,31757,28141,3060,12.5315,
440,62972,34610,28362,3074,12.5051,
441,65915,37461,28454,2943,12.5358,
442,68983,40341,28642,3068,12.6074,
443,72120,43190,28930,3137,12.6142,
444,75000,46045,28955,2880,12.6515,
445,77928,48927,29001,2928,12.6912,
446,81002,51795,29207,3074,12.7235,
447,83945,54663,29282,2943,12.7612,
448,87013,57543,29470,3068,12.8206,
449,90150,60401,29749,3137,12.826,
450,93030,63251,29779,2880,12.8813,
451,95958,66125,29833,2928,12.9192,
452,99032,68979,30053,3074,12.9362,
453,101975,71846,30129,2943,12.9857,
454,105043,74720,30323,3068,13.0371,
455,108180,77568,30612,3137,13.0409,
456,111060,80400,30660,2880,13.1105,
457,113988,83271,30717,2928,13.141,
458,117062,86142,30920,3074,13.1576,
459,120005,89007,30998,2943,13.2168,
460,123150,91865,31285,3145,13.1785,
461,126210,94707,31503,3060,13.3345,
462,129207,97560,31647,2997,13.3851,
463,132227,100428,31799,3020,13.2883,
464,135092,103258,31834,2865,13.4193,
465,138223,106126,32097,3131,13.4245,
466,141180,108983,32197,2957,13.4154,
467,144240,111827,32413,3060,13.5581,
468,147237,114705,32532,2997,13.6021,
469,150257,117546,32711,3020,13.5068,
470,153122,120390,32732,2865,13.6439,
471,156253,123263,32990,3131,13.6321,
472,159210,126118,33092,2957,13.634,
473,162270,128982,33288,3060,13.7706,
474,165267,131849,33418,2997,13.8241,
475,168287,134691,33596,3020,13.7307,
476,171152,137528,33624,2865,13.8678,
477,174283,140413,33870,3131,13.8453,
478,177240,143257,33983,2957,13.8619,
479,180300,146121,34179,3060,13.987,
480,183360,148989,34371,3060,14.024,
481,186317,151842,34475,2957,13.974,
482,189448,154682,34766,3131,14.0265,
483,192313,157571,34742,2865,14.1357,
484,195333,160399,34934,3020,14.0634,
485,198330,163247,35083,2997,14.2282,
486,201390,166107,35283,3060,14.2411,
487,204347,168994,35353,2957,14.1981,
488,207478,171832,35646,3131,14.2363,
489,210343,174706,35637,2865,14.3599,
490,213363,177537,35826,3020,14.2624,
491,216360,180389,35971,2997,14.3944,
492,219420,183268,36152,3060,14.3564,
493,222377,186126,36251,2957,14.2722,
