vehicle_type,age,OpModeID,meanBaseRate_TotalEnergy_(KJ/hr),meanBaseRate_CO2_(g/hr),meanBaseRate_NOX_(g/hr),meanBaseRate_CO_(g/hr),meanBaseRate_HC_(g/hr),meanBaseRate_PM_(g/hr),meanBaseRate_PM_2.5_(g/hr)
1,0,0,49206.3,3536.29266,0.0695436,1.97892,0.0953798,,
1,0,1,45521.4,3271.471188,0.0294708,0.341669,0.0231352,,
1,0,11,71581.4,5144.316468,0.103114,6.80345,0.0650524,,
1,0,12,98841,7103.373,0.157418,11.1072,0.0498479,,
1,0,13,137367,9872.108122,0.368511,10.2406,0.0942146,,
1,0,14,173571,12473.96885,0.650607,14.6935,0.128156,,
1,0,15,206979,14874.89038,1.15309,21.3068,0.178659,,
1,0,16,249989,17965.87563,2.40478,35.9513,0.285382,,
1,0,21,97382.5,6998.555469,0.203915,8.86745,0.0973768,,
1,0,22,110849,7966.347909,0.331209,11.7489,0.0894292,,
1,0,23,135007,9702.502793,0.500717,15.1095,0.0964139,,
1,0,24,173205,12447.66565,0.843921,22.0873,0.183979,,
1,0,25,231143,16611.47647,1.18354,25.0671,0.18329,,
1,0,27,304713,21898.70698,1.86362,37.6451,0.289654,,
1,0,28,410729,29517.7233,6.85885,127.616,1.95524,,
1,0,29,562702,40439.51593,12.0423,270.27,3.47139,,
1,0,30,706632,50783.28497,15.8433,949.244,5.73108,,
1,0,33,138741,9970.852919,0.434612,6.65783,0.0935418,,
1,0,35,222473,15988.39248,1.19894,11.3684,0.129899,,
1,0,37,289809,20827.60621,1.67539,16.7341,0.166455,,
1,0,38,377895,27158.05323,5.8239,116.968,1.32031,,
1,0,39,503348,36173.94191,8.66952,123.421,1.91714,,
1,0,40,641649,46113.1735,10.9191,362.729,2.50657,,
1,1,0,48371.4,3476.291182,0.0695436,1.97892,0.0953798,,
1,1,1,44749.1,3215.968563,0.0294708,0.341669,0.0231352,,
1,1,11,70367,5057.041591,0.103114,6.80345,0.0650524,,
1,1,12,97164,6982.852603,0.157418,11.1072,0.0498479,,
1,1,13,135036,9704.586927,0.368511,10.2406,0.0942146,,
1,1,14,170626,12262.32152,0.650607,14.6935,0.128156,,
1,1,15,203467,14622.49465,1.15309,21.3068,0.178659,,
1,1,16,245748,17661.0891,2.40478,35.9513,0.285382,,
1,1,21,95730.3,6879.817366,0.203915,8.86745,0.0973768,,
1,1,22,108968,7831.166713,0.331209,11.7489,0.0894292,,
1,1,23,132716,9537.856265,0.500717,15.1095,0.0964139,,
1,1,24,170266,12236.44952,0.843921,22.0873,0.183979,,
1,1,25,227221,16329.61541,1.18354,25.0671,0.18329,,
1,1,27,299543,21527.15633,1.86362,37.6451,0.289654,,
1,1,28,403761,29016.95638,6.85885,127.616,1.95524,,
1,1,29,553155,39753.40488,12.0423,270.27,3.47139,,
1,1,30,694644,49921.74739,15.8433,949.244,5.73108,,
1,1,33,136387,9801.67879,0.434612,6.65783,0.0935418,,
1,1,35,218699,15717.16769,1.19894,11.3684,0.129899,,
1,1,37,284892,20474.23782,1.67539,16.7341,0.166455,,
1,1,38,371483,26697.24418,5.8239,116.968,1.32031,,
1,1,39,494808,35560.2006,8.66952,123.421,1.91714,,
1,1,40,630762,45330.76112,10.9191,362.729,2.50657,,
1,2,0,47585.7,3419.825544,0.0794655,1.99131,0.0953798,,
1,2,1,44022.2,3163.728684,0.0336754,0.343809,0.0231352,,
1,2,11,69223.9,4974.890806,0.117825,6.84606,0.0650524,,
1,2,12,95585.7,6869.425446,0.179877,11.1767,0.0498479,,
1,2,13,132843,9546.983331,0.421087,10.3048,0.0942146,,
1,2,14,167854,12063.10713,0.74343,14.7855,0.128156,,
1,2,15,200162,14384.97533,1.3176,21.4402,0.178659,,
1,2,16,241756,17374.19738,2.74787,36.1764,0.285382,,
1,2,21,94175.3,6768.064703,0.233008,8.92298,0.0973768,,
1,2,22,107198,7703.962716,0.378464,11.8224,0.0894292,,
1,2,23,130561,9382.983602,0.572155,15.2041,0.0964139,,
1,2,24,167501,12037.73819,0.964324,22.2256,0.183979,,
1,2,25,223530,16064.35555,1.3524,25.2241,0.18329,,
1,2,27,294677,21177.45314,2.1295,37.8809,0.289654,,
1,2,28,397202,28545.58293,7.02423,127.616,1.95524,,
1,2,29,544170,39107.6829,12.3327,270.27,3.47139,,
1,2,30,683360,49110.80395,16.2253,949.244,5.73108,,
1,2,33,134172,9642.494128,0.496619,6.69952,0.0935418,,
1,2,35,215146,15461.82543,1.37,11.4396,0.129899,,
1,2,37,280264,20141.6389,1.91442,16.8389,0.166455,,
1,2,38,365449,26263.60073,5.96433,116.968,1.32031,,
1,2,39,486771,34982.60821,8.87857,123.421,1.91714,,
1,2,40,620517,44594.48714,11.1824,362.729,2.50657,,
1,3,0,48175,3462.176569,0.0896996,2.00689,0.0955129,,
1,3,1,44567.4,3202.91039,0.0380124,0.346499,0.0231675,,
1,3,11,70081.2,5036.502098,0.133,6.89962,0.0651432,,
1,3,12,96769.4,6954.494017,0.203042,11.2642,0.0499174,,
1,3,13,134488,9665.203994,0.475317,10.3854,0.0943462,,
1,3,14,169933,12212.51792,0.839174,14.9011,0.128335,,
1,3,15,202641,14563.13279,1.48729,21.608,0.178908,,
1,3,16,244750,17589.36617,3.10176,36.4594,0.28578,,
1,3,21,95341.5,6851.875607,0.263017,8.99279,0.0975127,,
1,3,22,108525,7799.32978,0.427205,11.9149,0.089554,,
1,3,23,132178,9499.191999,0.645841,15.323,0.0965485,,
1,3,24,169575,12186.78966,1.08852,22.3995,0.184236,,
1,3,25,226298,16263.28248,1.52657,25.4214,0.183546,,
1,3,27,298327,21439.76646,2.40375,38.1772,0.290058,,
1,3,28,402121,28899.09505,7.21325,127.616,1.95524,,
1,3,29,550909,39591.99235,12.6645,270.27,3.47139,,
1,3,30,691823,49719.01153,16.6619,949.244,5.73108,,
1,3,33,135833,9761.864658,0.560577,6.75194,0.0936724,,
1,3,35,217811,15653.35009,1.54643,11.5291,0.130081,,
1,3,37,283735,20391.08809,2.16097,16.9706,0.166687,,
1,3,38,369975,26588.86925,6.12482,116.968,1.32031,,
1,3,39,492799,35415.82047,9.11748,123.421,1.91714,,
1,3,40,628201,45146.71059,11.4833,362.729,2.50657,,
1,4,0,49108.1,3529.235354,0.17261,4.67452,0.186854,,
1,4,1,45430.6,3264.945695,0.0731479,0.807077,0.0453231,,
1,4,11,71438.5,5134.046722,0.255934,16.0708,0.127441,,
1,4,12,98643.7,7089.193707,0.390718,26.2369,0.0976544,,
1,4,13,137092,9852.344789,0.914662,24.19,0.184571,,
1,4,14,173224,12449.03112,1.61484,34.7083,0.251064,,
1,4,15,206566,14845.20945,2.86202,50.33,0.350001,,
1,4,16,249490,17930.01416,5.96878,84.9226,0.559077,,
1,4,21,97188.1,6984.58459,0.506128,20.9463,0.190766,,
1,4,22,110627,7950.393509,0.822078,27.7527,0.175196,,
1,4,23,134738,9683.170661,1.2428,35.6909,0.188879,,
1,4,24,172859,12422.79978,2.09465,52.1736,0.360424,,
1,4,25,230681,16578.27407,2.9376,59.2124,0.359074,,
1,4,27,304105,21855.01205,4.62559,88.9238,0.567445,,
1,4,28,409910,29458.8645,12.7982,239.236,3.82436,,
1,4,29,561579,40358.80966,22.4702,506.665,6.78986,,
1,4,30,705222,50681.95297,29.5626,1779.51,11.2097,,
1,4,33,138464,9950.945853,1.07873,15.7268,0.183253,,
1,4,35,222029,15956.48368,2.97583,26.8539,0.254479,,
1,4,37,289230,20785.99541,4.1584,39.5285,0.326093,,
1,4,38,377141,27103.86577,10.8671,219.276,2.58246,,
1,4,39,502344,36101.78778,16.1768,231.372,3.74984,,
1,4,40,640368,46021.1123,20.3745,679.994,4.90272,,
1,5,0,49108.1,3529.235354,0.229759,5.14487,0.194806,,
1,5,1,45430.6,3264.945695,0.0973658,0.888286,0.047252,,
1,5,11,71438.5,5134.046722,0.340668,17.6879,0.132865,,
1,5,12,98643.7,7089.193707,0.520078,28.8769,0.10181,,
1,5,13,137092,9852.344789,1.21749,26.624,0.192426,,
1,5,14,173224,12449.03112,2.14948,38.2006,0.261749,,
1,5,15,206566,14845.20945,3.80958,55.3943,0.364897,,
1,5,16,249490,17930.01416,7.94494,93.4676,0.582871,,
1,5,21,97188.1,6984.58459,0.673697,23.0539,0.198885,,
1,5,22,110627,7950.393509,1.09425,30.5452,0.182652,,
1,5,23,134738,9683.170661,1.65427,39.2821,0.196918,,
1,5,24,172859,12422.79978,2.78815,57.4233,0.375763,,
1,5,25,230681,16578.27407,3.91019,65.1704,0.374356,,
1,5,27,304105,21855.01205,6.15703,97.8713,0.591595,,
1,5,28,409910,29458.8645,13.5442,239.236,3.83716,,
1,5,29,561579,40358.80966,23.78,506.665,6.81259,,
1,5,30,705222,50681.95297,31.2858,1779.51,11.2472,,
1,5,33,138464,9950.945853,1.43587,17.3093,0.191052,,
1,5,35,222029,15956.48368,3.96107,29.556,0.26531,,
1,5,37,289230,20785.99541,5.53516,43.5059,0.339971,,
1,5,38,377141,27103.86577,11.5005,219.276,2.59111,,
1,5,39,502344,36101.78778,17.1198,231.372,3.76239,,
1,5,40,640368,46021.1123,21.5621,679.994,4.91914,,
1,6,0,49108.1,3529.235354,0.316113,7.28992,0.288365,,
1,6,1,45430.6,3264.945695,0.133961,1.25864,0.0699457,,
1,6,11,71438.5,5134.046722,0.468709,25.0625,0.196675,,
1,6,12,98643.7,7089.193707,0.715549,40.9166,0.150707,,
1,6,13,137092,9852.344789,1.67508,37.7243,0.284843,,
1,6,14,173224,12449.03112,2.95736,54.1276,0.387459,,
1,6,15,206566,14845.20945,5.24141,78.4898,0.540146,,
1,6,16,249490,17930.01416,10.931,132.437,0.862806,,
1,6,21,97188.1,6984.58459,0.926906,32.6658,0.294403,,
1,6,22,110627,7950.393509,1.50553,43.2804,0.270375,,
1,6,23,134738,9683.170661,2.27603,55.6601,0.291492,,
1,6,24,172859,12422.79978,3.83608,81.3648,0.55623,,
1,6,25,230681,16578.27407,5.37983,92.3419,0.554148,,
1,6,27,304105,21855.01205,8.47115,138.677,0.875721,,
1,6,28,409910,29458.8645,17.4256,277.047,5.50622,,
1,6,29,561579,40358.80966,30.5948,586.742,9.77588,,
1,6,30,705222,50681.95297,40.2515,2060.76,16.1395,,
1,6,33,138464,9950.945853,1.97555,24.5261,0.282808,,
1,6,35,222029,15956.48368,5.44984,41.8787,0.39273,,
1,6,37,289230,20785.99541,7.61555,61.6448,0.503249,,
1,6,38,377141,27103.86577,14.7963,253.932,3.71817,,
1,6,39,502344,36101.78778,22.0259,267.94,5.39893,,
1,6,40,640368,46021.1123,27.7413,787.466,7.05882,,
1,7,0,49108.1,3529.235354,0.430502,7.94622,0.294778,,
1,7,1,45430.6,3264.945695,0.182436,1.37195,0.0715011,,
1,7,11,71438.5,5134.046722,0.638316,27.3188,0.201049,,
1,7,12,98643.7,7089.193707,0.974478,44.6002,0.154058,,
1,7,13,137092,9852.344789,2.28123,41.1205,0.291177,,
1,7,14,173224,12449.03112,4.02751,59.0006,0.396075,,
1,7,15,206566,14845.20945,7.13807,85.556,0.552158,,
1,7,16,249490,17930.01416,14.8865,144.36,0.881994,,
1,7,21,97188.1,6984.58459,1.26232,35.6066,0.30095,,
1,7,22,110627,7950.393509,2.05032,47.1768,0.276387,,
1,7,23,134738,9683.170661,3.09964,60.671,0.297974,,
1,7,24,172859,12422.79978,5.2242,88.6899,0.5686,,
1,7,25,230681,16578.27407,7.32658,100.655,0.566471,,
1,7,27,304105,21855.01205,11.5365,151.162,0.895195,,
1,7,28,409910,29458.8645,19.1186,277.048,5.55892,,
1,7,29,561579,40358.80966,33.5671,586.745,9.86945,,
1,7,30,705222,50681.95297,44.1621,2060.77,16.2939,,
1,7,33,138464,9950.945853,2.69042,26.7341,0.289098,,
1,7,35,222029,15956.48368,7.42192,45.649,0.401463,,
1,7,37,289230,20785.99541,10.3713,67.1945,0.514441,,
1,7,38,377141,27103.86577,16.2338,253.933,3.75376,,
1,7,39,502344,36101.78778,24.1658,267.941,5.4506,,
1,7,40,640368,46021.1123,30.4365,787.469,7.12638,,
1,8,0,49108.1,3529.235354,0.965969,9.37032,0.369365,,
1,8,1,45430.6,3264.945695,0.409353,1.61783,0.0895928,,
1,8,11,71438.5,5134.046722,1.43226,32.2148,0.25192,,
1,8,12,98643.7,7089.193707,2.18655,52.5933,0.193039,,
1,8,13,137092,9852.344789,5.11866,48.4901,0.364852,,
1,8,14,173224,12449.03112,9.03701,69.5745,0.496292,,
1,8,15,206566,14845.20945,16.0165,100.889,0.691868,,
1,8,16,249490,17930.01416,33.4027,170.232,1.10516,,
1,8,21,97188.1,6984.58459,2.83241,41.988,0.377098,,
1,8,22,110627,7950.393509,4.60054,55.6317,0.34632,,
1,8,23,134738,9683.170661,6.95502,71.5443,0.373369,,
