from_node_id,to_node_id,link_id_from_to,day_no,timestamp_in_min,travel_time_in_min,delay_in_min,link_in_volume_number_of_veh,link_out_volume_number_of_veh,link_volume_in_veh_per_hour_per_lane,link_volume_in_veh_per_hour_for_all_lanes,density_in_veh_per_distance_per_lane,speed,queue_length_percentage,number_of_queued_vehicles,cumulative_arrival_count,cumulative_departure_count,total_energy,total_CO2,total_NOX,total_CO,total_HC,total_PM,total_PM2.5
1,3,1->3,2,840,  1.48,  0.48,  3.00,  0.00,180.00,180.00,  0.00,40.64,0.00,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,2,841,  2.48,  1.48,  3.00,  1.00,180.00,180.00,  3.00,24.21,0.00,0,3,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,2,842,  3.68,  2.68,  4.00,  2.00,240.00,240.00,  5.00,16.30,0.45,1,6,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,2,843,  4.76,  3.76,  4.00,  1.00,240.00,240.00,  7.00,12.61,1.36,3,10,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,2,844,  5.71,  4.71,  3.00,  2.00,180.00,180.00, 10.00,10.51,2.73,6,14,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,2,845,  6.53,  5.53,  2.00,  2.00,120.00,120.00, 11.00,9.19,3.18,7,17,6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,2,846,  7.59,  6.59,  4.00,  1.00,240.00,240.00, 11.00,7.90,3.64,8,19,8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,2,847,  8.87,  7.87,  4.00,  2.00,240.00,240.00, 14.00,6.77,4.55,10,23,9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,2,848,  9.97,  8.97,  3.00,  2.00,180.00,180.00, 16.00,6.02,5.45,12,27,11,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,2,849, 10.92,  9.92,  3.00,  1.00,180.00,180.00, 17.00,5.49,6.36,14,30,13,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
