node_id,scenario_no,start_day_no,end_day_no,start_time_in_min,end_time_in_min,notes,record_name,reference_id,NBL2,NBL,NBT,NBR,NBR2,SBL2,SBL,SBT,SBR,SBR2,EBL2,EBL,EBT,EBR,EBR2,WBL2,WBL,WBT,WBR,WBR2,NEL,NET,NER,NWL,NWT,NWR,SEL,SET,SER,SWL,SWT,SWR,geometry,
5,1,1,100,0,1440,,Up Node,,,1,1,1,,,2,2,2,,,3,3,3,,,4,4,4,,,,,,,,,,,,,,<Point><coordinates>49.898913,
5,1,1,100,0,1440,,Dest Node,,,3,2,4,,,4,1,3,,,2,4,1,,,1,3,2,,,,,,,,,,,,,,<Point><coordinates>49.898913,
5,1,1,100,0,1440,,TurnVolume,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,,,,,,,,,,,,<Point><coordinates>49.898913,
5,1,1,100,0,1440,,Lanes,,,2,3,1,,,0,3,0,,,0,3,0,,,0,3,0,,,,,,,,,,,,,,<Point><coordinates>49.898913,
5,1,1,100,0,1440,,Shared,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<Point><coordinates>49.898913,
5,1,1,100,0,1440,,Width,,,12,12,12,,,12,12,12,,,12,12,12,,,12,12,12,,,,,,,,,,,,,,<Point><coordinates>49.898913,
5,1,1,100,0,1440,,Storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<Point><coordinates>49.898913,
5,1,1,100,0,1440,,StLanes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<Point><coordinates>49.898913,
5,1,1,100,0,1440,,Grade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<Point><coordinates>49.898913,
5,1,1,100,0,1440,,Speed,,,35,35,35,,,35,35,35,,,35,35,35,,,35,35,35,,,,,,,,,,,,,,<Point><coordinates>49.898913,
5,1,1,100,0,1440,,FirstDetect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<Point><coordinates>49.898913,
5,1,1,100,0,1440,,LastDetect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<Point><coordinates>49.898913,
5,1,1,100,0,1440,,Phase1,,,7,4,4,,,3,8,8,,,1,6,6,,,5,2,2,,,,,,,,,,,,,,<Point><coordinates>49.898913,
5,1,1,100,0,1440,,PermPhase1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<Point><coordinates>49.898913,
5,1,1,100,0,1440,,DetectPhase1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<Point><coordinates>49.898913,
5,1,1,100,0,1440,,EffectiveGreen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<Point><coordinates>49.898913,
5,1,1,100,0,1440,,Capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<Point><coordinates>49.898913,
5,1,1,100,0,1440,,V/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<Point><coordinates>49.898913,
5,1,1,100,0,1440,,Delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<Point><coordinates>49.898913,
5,1,1,100,0,1440,,LOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<Point><coordinates>49.898913,
5,1,1,100,0,1440,,IdealFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<Point><coordinates>49.898913,
5,1,1,100,0,1440,,LostTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<Point><coordinates>49.898913,
5,1,1,100,0,1440,,SatFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<Point><coordinates>49.898913,
5,1,1,100,0,1440,,SatFlowPerm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<Point><coordinates>49.898913,
5,1,1,100,0,1440,,SatFlowRTOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<Point><coordinates>49.898913,
5,1,1,100,0,1440,,HeadwayFact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<Point><coordinates>49.898913,
5,1,1,100,0,1440,,Volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<Point><coordinates>49.898913,
5,1,1,100,0,1440,,Peds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<Point><coordinates>49.898913,
5,1,1,100,0,1440,,Bicycles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<Point><coordinates>49.898913,
5,1,1,100,0,1440,,PHF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<Point><coordinates>49.898913,
5,1,1,100,0,1440,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<Point><coordinates>49.898913,
5,1,1,100,0,1440,,HeavyVehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<Point><coordinates>49.898913,
5,1,1,100,0,1440,,BusStops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<Point><coordinates>49.898913,
5,1,1,100,0,1440,,Midblock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<Point><coordinates>49.898913,
5,1,1,100,0,1440,,Distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<Point><coordinates>49.898913,
5,1,1,100,0,1440,,TravelTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<Point><coordinates>49.898913,
5,1,1,100,0,1440,,Street Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<Point><coordinates>49.898913,
