timing_plan_name,node_id,QEM_reference_node_id,CycleLength,Offset,up_node_id,dest_node_id,name,turn_type,turn_direction,prohibited_flag,protected_flag,permitted_flag,sim_turn_volume,sim_turn_hourly_volume,sim_turn_percentage,sim_turn_delay_in_second,obs_turn_volume,obs_turn_hourly_volume,obs_turn_percentage,obs_turn_delay_in_second,QEM_TurnVolume,LinkVolume,Lanes,Shared,Width,Storage,StLanes,Grade,Speed,IdealFlow,LostTime,Phase1,PermPhase1,DetectPhase1,EffectiveGreen,Capacity,VOC,Delay,LOS,SatFlowRatePerLaneGroup,GreenStartTime,GreenEndTime,geometry,
ALLDAY,5, ,70,0,1,3, ,Left,NBL,0,0,0,200,200,16.6667,0.352978,0,0,0,0,200,0,1,0,12,0,0,0,35,1900,4,2,0,0,35,0,0,0, ,0,0,17,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,5, ,70,0,1,4, ,Right,NBR,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,0,0,0,35,1900,4,2,0,0,35,0,0,0, ,0,9999,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,5, ,70,0,1,2, ,Through,NBT,0,0,0,1000,1000,83.3333,0.130287,0,0,0,0,1000,0,3,0,12,0,0,0,35,1900,4,2,0,0,35,0,0,0, ,0,0,44,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,5, ,70,0,3,1, ,Right,EBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,35,1900,4,4,0,0,6,0,0,0, ,0,9999,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,5, ,70,0,3,4, ,Through,EBT,0,0,0,1000,1000,83.3333,0.683141,0,0,0,0,1000,0,3,0,12,0,0,0,35,1900,4,4,0,0,35,0,0,0, ,0,44,70,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,5, ,70,0,3,2, ,Left,EBL,0,0,0,200,200,16.6667,0.679507,0,0,0,0,200,0,0,0,12,0,0,0,35,1900,4,4,0,0,6,0,0,0, ,0,9999,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,5, ,70,0,4,1, ,Left,WBL,0,0,0,200,200,16.6667,4.58211e-008,0,0,0,0,200,0,0,0,12,0,0,0,35,1900,4,6,0,0,6,0,0,0, ,0,9999,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,5, ,70,0,4,3, ,Through,WBT,0,0,0,1000,1000,83.3333,4.60595e-008,0,0,0,0,1000,0,3,0,12,0,0,0,35,1900,4,6,0,0,35,0,0,0, ,0,44,70,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,5, ,70,0,4,2, ,Right,WBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,35,1900,4,6,0,0,6,0,0,0, ,0,9999,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,5, ,70,0,2,1, ,Through,SBT,0,0,0,1000,1000,83.3333,0,0,0,0,0,1000,0,3,0,12,0,0,0,35,1900,4,8,0,0,35,0,0,0, ,0,17,44,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,5, ,70,0,2,3, ,Right,SBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,35,1900,4,8,0,0,6,0,0,0, ,0,9999,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,5, ,70,0,2,4, ,Left,SBL,0,0,0,200,200,16.6667,0,0,0,0,0,200,0,0,0,12,0,0,0,35,1900,4,8,0,0,6,0,0,0, ,0,9999,0,"<LineString><coordinates></coordinates></LineString>",,
