agent_id,tour_id,from_zone_id,to_zone_id,from_origin_node_id,to_destination_node_id,departure_time_in_min,end_time_in_min,travel_time_in_min,demand_type,information_type,value_of_time,vehicle_type,vehicle_age,distance
0,0,7,9,11281,5356,930.00,934.00,4.00,1,1,1.00,1,15,2.06,
1,1,37,34,1353,1322,930.01,931.40,1.39,1,1,1.00,1,10,0.48,
2,2,11,20,5119,1357,930.02,935.70,5.68,1,1,1.00,1,10,2.51,
3,3,21,18,6253,1286,930.02,943.80,13.78,1,1,1.00,1,15,6.85,
4,4,34,8,1322,10847,930.02,937.80,7.78,1,1,1.00,1,10,3.39,
5,5,18,9,1286,5356,930.04,942.30,12.26,1,1,1.00,1,5,5.54,
6,6,17,31,1289,1314,930.06,933.30,3.24,1,1,1.00,1,5,1.11,
7,7,13,3,5034,11159,930.06,935.80,5.74,1,1,1.00,1,10,3.30,
8,8,9,12,5356,11151,930.07,936.20,6.13,1,1,1.00,1,15,2.83,
9,9,32,15,1285,4899,930.07,934.90,4.83,1,1,1.00,1,5,2.64,
10,10,32,20,1285,1356,930.07,940.40,10.33,1,1,1.00,1,10,4.37,
11,11,15,28,4899,1359,930.08,936.40,6.32,1,1,1.00,1,10,2.94,
12,12,17,6,1289,5238,930.09,937.50,7.41,1,1,1.00,1,5,4.66,
13,13,11,13,5119,5034,930.09,935.20,5.11,1,1,1.00,1,10,2.30,
14,14,31,17,1314,1289,930.09,932.70,2.61,1,1,1.00,1,5,1.29,
15,15,13,18,5034,1286,930.10,935.60,5.50,1,1,1.00,1,15,2.88,
16,16,26,20,1323,1356,930.10,934.50,4.40,1,1,1.00,1,0,1.98,
17,17,6,22,5238,3689,930.12,935.40,5.28,1,1,1.00,1,0,2.89,
18,18,6,3,5238,11159,930.13,934.30,4.17,1,1,1.00,1,10,2.65,
19,19,18,11,1286,5119,930.15,939.80,9.65,1,1,1.00,1,10,4.35,
20,20,3,31,11159,1318,930.15,932.60,2.45,1,1,1.00,1,5,1.08,
