time_stamp_in_min,cumulative_in_flow_count,cumulative_out_flow_count,number_of_vehicles_in_network,flow_in_a_min,avg_trip_time_in_min
930,167,1,166,1393,5.92024,
931,376,6,370,1768,6.33789,
932,557,21,536,1704,6.58946,
933,703,61,642,1714,6.9026,
934,882,113,769,1799,7.43213,
935,1080,189,891,2011,7.88241,
936,1262,279,983,1879,8.51264,
937,1439,398,1041,1794,8.6371,
938,1633,523,1110,1971,9.40844,
939,1802,665,1137,1839,9.76154,
940,1993,783,1210,2076,10.3244,
941,2161,917,1244,1738,10.6008,
942,2337,1051,1286,1884,11.3711,
943,2525,1196,1329,1848,11.4544,
944,2702,1342,1360,1625,11.4808,
945,2856,1482,1374,1750,12.1397,
946,3050,1630,1420,2049,12.384,
947,3257,1795,1462,2075,12.4971,
948,3463,1951,1512,2058,13.4838,
949,3645,2107,1538,1824,13.3187,
950,3839,2257,1582,2114,14.6095,
951,4032,2422,1610,2071,14.8646,
952,4218,2587,1631,2006,15.4763,
953,4437,2739,1698,1867,14.5868,
954,4664,2908,1756,2088,16.3059,
955,4878,3069,1809,2085,16.8441,
956,5059,3229,1830,1947,16.7824,
957,5254,3382,1872,2090,17.6097,
958,5435,3536,1899,2041,17.755,
959,5599,3714,1885,1571,16.2758,
960,5738,3888,1850,1789,19.5501,
961,5908,4033,1875,1800,17.4216,
962,6070,4177,1893,2012,18.153,
963,6242,4353,1889,1739,18.3775,
964,6400,4513,1887,1791,18.6279,
965,6572,4668,1904,1752,18.1525,
966,6724,4834,1890,1857,19.6961,
967,6874,4985,1889,1694,20.6657,
968,7054,5145,1909,1769,19.6921,
969,7206,5309,1897,1526,18.34,
970,7385,5462,1923,1987,21.4604,
971,7547,5634,1913,1730,20.1707,
972,7722,5824,1898,1967,20.5657,
973,7885,5979,1906,1858,21.3161,
974,8035,6161,1874,1526,20.5547,
975,8179,6312,1867,1676,23.3277,
976,8313,6484,1829,1747,22.2324,
977,8489,6635,1854,1671,19.661,
978,8653,6806,1847,1842,23.6236,
979,8799,6958,1841,1642,23.0133,
980,8955,7110,1845,1833,25.1426,
981,9121,7268,1853,1826,23.1808,
982,9278,7413,1865,1596,24.6227,
983,9433,7559,1874,1685,21.7916,
984,9583,7692,1891,1818,24.632,
985,9746,7843,1903,1751,23.4914,
986,9916,7989,1927,1810,24.6089,
987,10088,8137,1951,1796,23.1709,
988,10252,8292,1960,1688,24.3616,
989,10418,8418,2000,1344,19.28,
990,10553,8567,1986,1869,30.1592,
991,10738,8721,2017,1659,23.2192,
992,10908,8891,2017,1726,23.2738,
993,11065,9057,2008,1667,24.3334,
994,11227,9225,2002,1805,24.6699,
995,11426,9382,2044,1841,23.6295,
996,11612,9519,2093,1736,23.9202,
997,11784,9679,2105,1710,25.0793,
998,11972,9852,2120,1789,25.1389,
999,12133,10022,2111,1687,26.2457,
1000,12313,10174,2139,1869,26.5914,
1001,12483,10342,2141,1532,22.8747,
1002,12664,10531,2133,1822,26.6405,
1003,12827,10692,2135,1742,24.4105,
1004,12961,10854,2107,1467,26.4121,
1005,13093,11021,2072,1514,29.2446,
1006,13252,11205,2047,1741,26.8438,
1007,13409,11355,2054,1732,26.3811,
1008,13568,11512,2056,1679,27.1981,
1009,13737,11679,2058,1459,23.0135,
1010,13893,11835,2058,1933,28.8902,
1011,14052,11998,2054,1707,27.1566,
1012,14201,12151,2050,1703,28.4643,
1013,14367,12323,2044,1704,26.1407,
1014,14523,12490,2033,1669,27.3142,
1015,14699,12652,2047,1793,27.1734,
1016,14859,12812,2047,1573,26.6166,
1017,15030,12975,2055,1796,26.8041,
1018,15174,13145,2029,1713,27.0856,
1019,15328,13299,2029,1366,25.3542,
1020,15456,13471,1985,1731,31.1742,
1021,15642,13636,2006,1907,26.6164,
1022,15855,13804,2051,1905,27.8365,
1023,16045,13953,2092,1746,26.8671,
1024,16222,14115,2107,1821,28.4466,
1025,16419,14277,2142,1759,25.9197,
1026,16619,14434,2185,1963,27.5766,
1027,16805,14600,2205,1779,28.7051,
1028,16993,14742,2251,1959,28.1054,
1029,17177,14919,2258,1696,26.6412,
1030,17401,15090,2311,1961,28.9831,
1031,17598,15252,2346,1860,27.7413,
1032,17779,15417,2362,1897,29.1087,
1033,18001,15589,2412,1857,28.7235,
1034,18135,15744,2391,1585,29.3904,
1035,18255,15900,2355,1512,30.7592,
1036,18426,16077,2349,1551,28.419,
1037,18585,16228,2357,1592,29.6359,
1038,18755,16395,2360,1599,30.9325,
1039,18916,16552,2364,1626,30.2628,
1040,19082,16699,2383,1703,29.9818,
1041,19251,16846,2405,1689,29.3189,
1042,19408,16989,2419,1619,31.7152,
1043,19586,17143,2443,1583,28.0932,
1044,19743,17307,2436,1619,30.4799,
1045,19923,17457,2466,1635,28.5362,
1046,20073,17609,2464,1437,28.9298,
1047,20260,17751,2509,1563,27.9474,
1048,20437,17900,2537,1475,26.3105,
1049,20553,18044,2509,1097,22.6091,
1050,20554,18194,2360,2,4.64685,
1051,20554,18327,2227,3,4.5662,
1052,20554,18458,2096,1,6.93628,
1053,20554,18575,1979,0,0,
1054,20554,18691,1863,1,6.05188,
1055,20554,18814,1740,1,6.04797,
1056,20554,18903,1651,4,9.68289,
1057,20901,18985,1916,2,4.67773,
1058,20901,19065,1836,2,6.53217,
1059,20901,19144,1757,1,5.89014,
1060,20901,19231,1670,3,6.29293,
1061,20901,19312,1589,1,3.29651,
1062,20901,19385,1516,2,6.05237,
1063,20902,19458,1444,4,6.02588,
1064,20902,19530,1372,4,5.35461,
1065,20902,19604,1298,0,0,
1066,20902,19680,1222,0,0,
1067,20902,19748,1154,0,0,
1068,20902,19808,1094,0,0,
1069,20902,19867,1035,0,0,
1070,20902,19929,973,0,0,
1071,20902,19989,913,0,0,
1072,20902,20040,862,0,0,
1073,20902,20084,818,0,0,
1074,20902,20136,766,0,0,
1075,20902,20181,721,0,0,
1076,20902,20218,684,0,0,
1077,20902,20252,650,0,0,
1078,20902,20287,615,0,0,
