from_zone_id,to_zone_id,departure_time_in_min,DT1_TT_in_min,DT2_TT_in_min,DT3_TT_in_min,DT4_TT_in_min,DT1_Distance,DT2_Distance,DT3_Distance,DT4_Distance,DT1_Toll_Cost,DT2_Toll_Cost,DT3_Toll_Cost,DT4_Toll_Cost,
1,2,450,11.0,11.0,11.0,11.0,11.00,11.00,11.00,11.00,0,0,0,0,
1,38,450, 8.3, 8.3, 8.3, 8.3,6.48,6.48,6.48,6.48,0,0,0,0,
1,39,450, 8.2, 8.2, 8.2, 8.2,6.40,6.40,6.40,6.40,0,0,0,0,
1,40,450, 9.2, 9.2, 9.2, 9.2,6.81,6.81,6.81,6.81,0,0,0,0,
1,41,450, 9.8, 9.8, 9.8, 9.8,7.53,7.53,7.53,7.53,0,0,0,0,
2,1,450,13.0,13.0,13.0,13.0,14.13,14.13,14.13,14.13,0,0,0,0,
2,38,450, 8.3, 8.3, 8.3, 8.3,8.94,8.94,8.94,8.94,0,0,0,0,
2,39,450, 8.2, 8.2, 8.2, 8.2,8.86,8.86,8.86,8.86,0,0,0,0,
2,40,450, 5.8, 5.8, 5.8, 5.8,6.27,6.27,6.27,6.27,0,0,0,0,
2,41,450, 6.4, 6.4, 6.4, 6.4,6.98,6.98,6.98,6.98,0,0,0,0,
38,1,450, 9.4, 9.4, 9.4, 9.4,10.16,10.16,10.16,10.16,0,0,0,0,
38,2,450, 8.3, 8.3, 8.3, 8.3,6.48,6.48,6.48,6.48,0,0,0,0,
38,39,450, 4.5, 4.5, 4.5, 4.5,4.88,4.88,4.88,4.88,0,0,0,0,
38,40,450, 5.5, 5.5, 5.5, 5.5,5.30,5.30,5.30,5.30,0,0,0,0,
38,41,450, 6.1, 6.1, 6.1, 6.1,6.01,6.01,6.01,6.01,0,0,0,0,
39,1,450, 9.3, 9.3, 9.3, 9.3,10.08,10.08,10.08,10.08,0,0,0,0,
39,2,450, 8.2, 8.2, 8.2, 8.2,6.40,6.40,6.40,6.40,0,0,0,0,
39,38,450, 4.5, 4.5, 4.5, 4.5,4.88,4.88,4.88,4.88,0,0,0,0,
39,40,450, 5.4, 5.4, 5.4, 5.4,5.22,5.22,5.22,5.22,0,0,0,0,
39,41,450, 6.0, 6.0, 6.0, 6.0,5.93,5.93,5.93,5.93,0,0,0,0,
40,1,450,10.6,10.6,10.6,10.6,11.50,11.50,11.50,11.50,0,0,0,0,
40,2,450, 6.2, 6.2, 6.2, 6.2,4.81,4.81,4.81,4.81,0,0,0,0,
40,38,450, 5.8, 5.8, 5.8, 5.8,6.30,6.30,6.30,6.30,0,0,0,0,
40,39,450, 5.7, 5.7, 5.7, 5.7,6.22,6.22,6.22,6.22,0,0,0,0,
40,41,450, 4.0, 4.0, 4.0, 4.0,4.34,4.34,4.34,4.34,0,0,0,0,
41,1,450,11.3,11.3,11.3,11.3,12.21,12.21,12.21,12.21,0,0,0,0,
41,2,450, 6.8, 6.8, 6.8, 6.8,5.53,5.53,5.53,5.53,0,0,0,0,
41,38,450, 6.5, 6.5, 6.5, 6.5,7.01,7.01,7.01,7.01,0,0,0,0,
41,39,450, 6.4, 6.4, 6.4, 6.4,6.93,6.93,6.93,6.93,0,0,0,0,
41,40,450, 4.0, 4.0, 4.0, 4.0,4.34,4.34,4.34,4.34,0,0,0,0,
