from_zone_id,to_zone_id,departure_time_in_min,DT1_TT_in_min,DT2_TT_in_min,DT3_TT_in_min,DT4_TT_in_min,DT1_Distance,DT2_Distance,DT3_Distance,DT4_Distance,DT1_Toll_Cost,DT2_Toll_Cost,DT3_Toll_Cost,DT4_Toll_Cost,
1,2,510,11.0,11.0,11.0,11.0,11.00,11.00,11.00,11.00,,,,,
1,38,510, 8.3, 8.3, 8.3, 8.3,6.48,6.48,6.48,6.48,,,,,
1,39,510, 8.2, 8.2, 8.2, 8.2,6.40,6.40,6.40,6.40,,,,,
1,40,510, 9.2, 9.2, 9.2, 9.2,6.81,6.81,6.81,6.81,,,,,
1,41,510, 9.8, 9.8, 9.8, 9.8,7.53,7.53,7.53,7.53,,,,,
2,1,510,13.0,13.0,13.0,13.0,14.13,14.13,14.13,14.13,,,,,
2,38,510, 8.3, 8.3, 8.3, 8.3,8.94,8.94,8.94,8.94,,,,,
2,39,510, 8.2, 8.2, 8.2, 8.2,8.86,8.86,8.86,8.86,,,,,
2,40,510, 5.8, 5.8, 5.8, 5.8,6.27,6.27,6.27,6.27,,,,,
2,41,510, 6.4, 6.4, 6.4, 6.4,6.98,6.98,6.98,6.98,,,,,
38,1,510, 9.4, 9.4, 9.4, 9.4,10.16,10.16,10.16,10.16,,,,,
38,2,510, 8.3, 8.3, 8.3, 8.3,6.48,6.48,6.48,6.48,,,,,
38,39,510, 4.5, 4.5, 4.5, 4.5,4.88,4.88,4.88,4.88,,,,,
38,40,510, 5.5, 5.5, 5.5, 5.5,5.30,5.30,5.30,5.30,,,,,
38,41,510, 6.1, 6.1, 6.1, 6.1,6.01,6.01,6.01,6.01,,,,,
39,1,510, 9.3, 9.3, 9.3, 9.3,10.08,10.08,10.08,10.08,,,,,
39,2,510, 8.2, 8.2, 8.2, 8.2,6.40,6.40,6.40,6.40,,,,,
39,38,510, 4.5, 4.5, 4.5, 4.5,4.88,4.88,4.88,4.88,,,,,
39,40,510, 5.4, 5.4, 5.4, 5.4,5.22,5.22,5.22,5.22,,,,,
39,41,510, 6.0, 6.0, 6.0, 6.0,5.93,5.93,5.93,5.93,,,,,
40,1,510,10.6,10.6,10.6,10.6,11.50,11.50,11.50,11.50,,,,,
40,2,510, 6.2, 6.2, 6.2, 6.2,4.81,4.81,4.81,4.81,,,,,
40,38,510, 5.8, 5.8, 5.8, 5.8,6.30,6.30,6.30,6.30,,,,,
40,39,510, 5.7, 5.7, 5.7, 5.7,6.22,6.22,6.22,6.22,,,,,
40,41,510, 4.0, 4.0, 4.0, 4.0,4.34,4.34,4.34,4.34,,,,,
41,1,510,11.3,11.3,11.3,11.3,12.21,12.21,12.21,12.21,,,,,
41,2,510, 6.8, 6.8, 6.8, 6.8,5.53,5.53,5.53,5.53,,,,,
41,38,510, 6.5, 6.5, 6.5, 6.5,7.01,7.01,7.01,7.01,,,,,
41,39,510, 6.4, 6.4, 6.4, 6.4,6.93,6.93,6.93,6.93,,,,,
41,40,510, 4.0, 4.0, 4.0, 4.0,4.34,4.34,4.34,4.34,,,,,
